epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,56.4,,56.4,8.995327725199418e-06,8.995327725199418e-06,3.330434349805064e-05,0.5634750087849891,0.609512746506206,0.5640000000000001,1.2299931913614273,3.330434349805064e-05,3.330434349805064e-05,0.8756512119884933,0.0,1.2299931913614273,0.8766615579747186,0.8754
1,1,1,56.4,,56.4,4.1428484013361865e-05,5.0423811738561285e-05,0.00010259449581782431,0.5531770811849486,0.5848820325697228,0.564,0.4184311479330063,6.929015231977368e-05,0.00010259449581782431,0.9756475879121556,0.0,0.4184311479330063,0.9757551715411426,0.9756
2,2,2,60.4,,60.4,7.350692136737797e-05,0.00012393073310593925,0.000204281593641751,0.5951294439330154,0.6281547691116482,0.6039999999999999,0.1633908674120903,0.0001016870978239267,0.000204281593641751,0.9960043369605293,0.0,0.1633908674120903,0.9960224264514345,0.9960000000000001
3,3,3,59.5,,59.5,0.00010608573146773814,0.0002300164645736774,0.00033852882750218,0.5846187709658405,0.6288651973391666,0.5950000000000001,0.05468186168000102,0.000134247233860429,0.00033852882750218,0.9993999995999996,0.0,0.05468186168000102,0.9994007984031935,0.9994
4,4,4,61.3,,61.3,0.00013905689184818954,0.00036907335642186694,0.0005053784242548108,0.6043763233873499,0.6426795538183429,0.6130000000000001,0.025226035760715602,0.00016684959675263074,0.0005053784242548108,0.9997999997999998,0.0,0.025226035760715602,0.9998003992015967,0.9997999999999999
5,5,5,59.2,,59.2,0.00017162651371370151,0.0005406998701355685,0.0007048015613874676,0.5774895281667931,0.6166948663685784,0.592,0.01160620292648673,0.0001994231371326568,0.0007048015613874676,1.0,0.0,0.01160620292648673,1.0,1.0
6,6,6,60.4,,60.4,0.00020424961376010485,0.0007449494838956733,0.0009368648495659688,0.5905185956121388,0.6453388176060825,0.6040000000000001,0.00966062736697495,0.00023206328817850126,0.0009368648495659688,1.0,0.0,0.00966062736697495,1.0,1.0
7,7,7,61.3,,61.3,0.00023688889701560585,0.0009818383809112791,0.0012019291419975923,0.5956833084978705,0.64350429168944,0.6129999999999999,0.011497379245702178,0.0002650642924316235,0.0012019291419975923,1.0,0.0,0.011497379245702178,1.0,1.0
8,8,8,62.3,,62.3,0.0002694692702174767,0.0012513076511287558,0.0014996085361234715,0.613016013065171,0.6543197919575934,0.623,0.007098719500936568,0.00029767939412587914,0.0014996085361234715,1.0,0.0,0.007098719500936568,1.0,1.0
9,9,9,60.9,,60.9,0.00030208228243694,0.0015533899335656957,0.0018298766172683818,0.5999254758280294,0.6504908966812596,0.6090000000000001,0.006841447169426829,0.0003302680811449104,0.0018298766172683818,1.0,0.0,0.006841447169426829,1.0,1.0
