epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,37.0,,37.0,8.286270699932332e-06,8.286270699932332e-06,1.5908622592381632e-05,0.3711544185476491,0.40659815085486617,0.37,1.8085093021392822,1.5908622592381632e-05,1.5908622592381632e-05,0.4637435316255963,0.0,1.8085093021392822,0.4657214084905747,0.46399999999999997
1,1,1,36.1,,36.1,2.949108636958487e-05,3.7777357069517204e-05,5.634617797802296e-05,0.3622611474351027,0.402721792836328,0.361,1.3695310354232788,4.0437555385641325e-05,5.634617797802296e-05,0.5900153143797908,0.0,1.3695310354232788,0.5921841416312155,0.5896
2,2,2,36.4,,36.4,5.0778650259927874e-05,8.855600732944507e-05,0.00011805801837014925,0.36168272111680244,0.3995567828253764,0.364,1.2713316261768342,6.171184039212628e-05,0.00011805801837014925,0.6260897377431944,0.0,1.2713316261768342,0.6268488333021481,0.6258
3,3,3,36.9,,36.9,7.196380524565161e-05,0.0001605198125750967,0.0002009080513591878,0.36762333449700885,0.40885555229197956,0.36900000000000005,1.197909766435623,8.285003298903855e-05,0.0002009080513591878,0.6390044696129749,0.0,1.197909766435623,0.639579773859827,0.639
4,4,4,36.3,,36.3,9.316064181383368e-05,0.0002536804543889304,0.00030470118406031223,0.3631894356397653,0.40037974146864774,0.363,1.1586032271385194,0.00010379313270112441,0.00030470118406031223,0.6561235424966776,0.0,1.1586032271385194,0.6569354998645297,0.6557999999999999
5,5,5,35.8,,35.8,0.00011400340351882148,0.0003676838579077519,0.00042964457109253277,0.3594429934471575,0.4001726130557938,0.358,1.1087777078151704,0.00012494338703222054,0.00042964457109253277,0.6624054253379246,0.0,1.1087777078151704,0.6627198918854502,0.6624
6,6,6,36.6,,36.6,0.00013518265156878433,0.0005028665094765362,0.0005757837511744657,0.36411414920689494,0.4033991290530622,0.366,1.093826997280121,0.0001461391800819329,0.0005757837511744657,0.6694437201334631,0.0,1.093826997280121,0.6696596806946591,0.6698
7,7,7,35.9,,35.9,0.00015648095174026558,0.0006593474612168017,0.0007431491409624603,0.3589375730804228,0.3999114169450508,0.359,1.0650504738092423,0.00016736538978799452,0.0007431491409624603,0.6804985444038353,0.0,1.0650504738092423,0.68023561453878,0.6814
8,8,8,35.9,,35.9,0.00017767329000724832,0.00083702075122405,0.0009317480270460146,0.35766019873106336,0.39475996377550004,0.359,1.0575944542884828,0.00018859888608355424,0.0009317480270460146,0.6802370572513323,0.0,1.0575944542884828,0.6808967232287377,0.6801999999999999
9,9,9,35.6,,35.6,0.00019893720144069125,0.0010359579526647413,0.0011412448626163295,0.3575677494376744,0.39817448558184054,0.356,1.0302173674106598,0.00020949683557031505,0.0011412448626163295,0.6855304565527476,0.0,1.0302173674106598,0.6861983975407319,0.6853999999999999
10,10,10,36.6,,36.6,0.00021978771835331703,0.0012557456710180583,0.0013719912520705172,0.36574292965345745,0.4134811594032922,0.366,1.0387711644172668,0.00023074638945418756,0.0013719912520705172,0.6965223791675382,0.0,1.0387711644172668,0.6967107471888425,0.6965999999999999
11,11,11,36.4,,36.4,0.00024100241525204643,0.0014967480862701048,0.0016239343203688075,0.3644704822118418,0.4036302258494585,0.364,1.008852991461754,0.0002519430682982904,0.0016239343203688075,0.6982784685951376,0.0,1.008852991461754,0.6988199534508928,0.6982
12,12,12,35.6,,35.6,0.0002622675424904514,0.0017590156287605563,0.0018971207670750501,0.3565942324195056,0.39351235868917794,0.356,0.982560807466507,0.00027318644670624255,0.0018971207670750501,0.6974519713494526,0.0,0.982560807466507,0.6971566874918855,0.6982
13,13,13,36.1,,36.1,0.00028351844011784475,0.002042534068878401,0.002191549109237154,0.3604268456795531,0.40671424996706884,0.361,0.9732925355434418,0.00029442834216210383,0.002191549109237154,0.7054733314824689,0.0,0.9732925355434418,0.7061193175734428,0.7058
14,14,14,36.4,,36.4,0.00030481501457168305,0.0023473490834500844,0.002506895829125355,0.3649253108704798,0.4035933104518853,0.364,0.976713752746582,0.0003153467198882009,0.002506895829125355,0.7075362769211953,0.0,0.976713752746582,0.7082583137646388,0.7072
15,15,15,36.5,,36.5,0.0003261279542641752,0.0026734770377142597,0.002843585761081983,0.36407587334529723,0.40947814021184586,0.365,0.9680264532566071,0.0003366899319566281,0.002843585761081983,0.7082549815608103,0.0,0.9680264532566071,0.7092661058271041,0.7078
16,16,16,36.9,,36.9,0.00034701619837091785,0.0030204932360851774,0.003201531420035982,0.36726881638249564,0.4056387582522252,0.369,0.959822365641594,0.0003579456589539989,0.003201531420035982,0.7177858022579264,0.0,0.959822365641594,0.7180285638054369,0.7180000000000001
17,17,17,36.2,,36.2,0.0003683058470627832,0.0033887990831479604,0.003580749515906241,0.3598416406659189,0.3938238168981294,0.362,0.953960657119751,0.00037921809587025885,0.003580749515906241,0.7102954528610087,0.0,0.953960657119751,0.7110426608781144,0.71
18,18,18,35.6,,35.6,0.00038955487690259,0.0037783539600505503,0.0039811914468787036,0.3553530486856275,0.39563964999552226,0.356,0.9232529729604722,0.00040044193097246256,0.0039811914468787036,0.713295692070945,0.0,0.9232529729604722,0.7132084582970057,0.7136
19,19,19,36.6,,36.6,0.00041143183496200294,0.004189785795012553,0.004403135853913286,0.36584141891132543,0.4019973899831351,0.366,0.9530748784542084,0.0004219444070345827,0.004403135853913286,0.7118763425163206,0.0,0.9530748784542084,0.7113946926541228,0.7128
20,20,20,36.2,,36.2,0.0004324207980993966,0.0046222065931119495,0.004846512542702214,0.3595336942173669,0.39687214901700135,0.362,0.931215626001358,0.00044337668878892736,0.004846512542702214,0.7141419430552083,0.0,0.931215626001358,0.7147032035746573,0.7142
21,21,21,35.9,,35.9,0.00045369614957854477,0.005075902742690494,0.005311063932676921,0.35940962629671985,0.401486966613525,0.359,0.9341976672410965,0.00046455138997470775,0.005311063932676921,0.7200330666555924,0.0,0.9341976672410965,0.7208332719023778,0.7198
